lat,long,orientation
38.736423,-9.139797,South
38.736374,-9.139790,South
38.736352,-9.139786,South
38.736324,-9.139783,South
38.736304,-9.139780,South
38.736279,-9.139775,South
38.736248,-9.139773,South
38.736222,-9.139769,South
38.736206,-9.139773,South
38.736174,-9.139769,South
38.736150,-9.139765,South
38.736128,-9.139763,South
38.736113,-9.139761,South
38.736043,-9.139758,South
38.735957,-9.139741,South
38.735865,-9.139729,South
38.735841,-9.139725,South
38.735818,-9.139723,South
38.735794,-9.139736,South
38.735781,-9.139731,South
38.735768,-9.139764,South
38.735774,-9.139745,East
38.735774,-9.139719,East
38.735778,-9.139688,East
38.735789,-9.139646,East
38.735793,-9.139623,East
38.735797,-9.139600,East
38.735823,-9.139600,North
38.735895,-9.139609,North
38.736019,-9.139618,North
38.736082,-9.139619,North
38.736124,-9.139620,North
38.736161,-9.139619,North
38.736196,-9.139621,North
38.736212,-9.139629,North
38.736216,-9.139638,West
38.736228,-9.139660,West
38.736230,-9.139699,West
38.736225,-9.139730,West
38.736225,-9.139764,West
38.736194,-9.139771,South
38.736174,-9.139769,South
38.736150,-9.139765,South
38.736128,-9.139763,South
38.736113,-9.139761,South
38.736043,-9.139758,South
38.735957,-9.139741,South
38.735865,-9.139729,South
38.735841,-9.139725,South
38.735818,-9.139723,South
38.735794,-9.139736,South
38.735781,-9.139731,South
38.735768,-9.139764,South
38.735774,-9.139745,East
38.735774,-9.139719,East
38.735778,-9.139688,East
38.735789,-9.139646,East
38.735793,-9.139623,East
38.735797,-9.139600,East
38.735823,-9.139600,North
38.735895,-9.139609,North
38.736019,-9.139618,North
38.736082,-9.139619,North
38.736124,-9.139620,North
38.736161,-9.139619,North
38.736196,-9.139608,North
38.736205,-9.139587,East
38.736211,-9.139569,East
38.736217,-9.139550,East
38.736224,-9.139493,East
38.736230,-9.139480,East
38.736233,-9.139459,East
38.736236,-9.139353,East
38.736247,-9.139188,East
38.736251,-9.139066,East
38.736251,-9.139030,East
38.736255,-9.139011,East
38.736252,-9.138981,East
38.736249,-9.138958,South
38.736224,-9.138952,South
38.736186,-9.138953,South
38.736151,-9.138943,South
38.736114,-9.138940,South
38.736089,-9.138934,South